date,min,max,median,q1,q3,stdev,count
2024-02-15T00:00:00.000Z,59,191,118.5,69,148,41.771,126
2024-02-16T00:00:00.000Z,68,118,99.5,77,110,16.091,54
2024-02-18T00:00:00.000Z,48,60,52,50,55,3.013,83
2024-02-19T00:00:00.000Z,33,54,39,36,42,4.986,140
2024-02-20T00:00:00.000Z,34,52,43,39,46,4.447,122
2024-02-21T00:00:00.000Z,33,46,39,37,42,2.712,130
2024-02-22T00:00:00.000Z,37,75,42,40,45,4.747,130
2024-02-23T00:00:00.000Z,37,55,44,40,50,5.173,133
2024-02-24T00:00:00.000Z,38,63,52,42,56.5,7.55,133
2024-02-25T00:00:00.000Z,37,72,50,43,58,9.499,126
2024-02-26T00:00:00.000Z,54,106,70,64,81.5,13.25,124
2024-02-27T00:00:00.000Z,55,122,80,64,100,19.484,123
2024-02-28T00:00:00.000Z,45,82,56.5,51,63,8.689,134
2024-02-29T00:00:00.000Z,41,60,48,44,50,4.642,131
2024-03-01T00:00:00.000Z,39,77,56,51.5,62,9.027,109
2024-03-02T00:00:00.000Z,50,86,69,57,77,10.136,126
2024-03-03T00:00:00.000Z,53,81,63,59,77,8.832,133
2024-03-04T00:00:00.000Z,49,77,59,54,67,7.992,122
2024-03-05T00:00:00.000Z,45,66,54,51,58,4.426,131
2024-03-06T00:00:00.000Z,46,73,52,50,60,6.568,131
2024-03-07T00:00:00.000Z,53,95,63,59,76,11.512,124
2024-03-08T00:00:00.000Z,39,70,57,53,60,6.407,133
2024-03-09T00:00:00.000Z,32,71,45,38,62,11.977,119
2024-03-10T00:00:00.000Z,31,85,66,39,80,19.457,123
2024-03-11T00:00:00.000Z,69,89,80,77,83,4.779,132
2024-03-12T00:00:00.000Z,60,77,67,64,72,4.249,135
2024-03-13T00:00:00.000Z,39,69,51,43,60,9.119,128
2024-03-14T00:00:00.000Z,46,82,54,51,61.5,7.366,125
2024-03-15T00:00:00.000Z,44,95,51,48,54,5.967,126
2024-03-16T00:00:00.000Z,45,71,56,53,60.5,5.482,133
2024-03-17T00:00:00.000Z,39,66,55,49,59,6.596,132
2024-03-18T00:00:00.000Z,60,82,67,65,71.5,5.324,133
2024-03-19T00:00:00.000Z,57,103,70,64,73,7.714,119
2024-03-20T00:00:00.000Z,57,314,88,74,114.5,55.926,132
2024-03-21T00:00:00.000Z,72,183,92,83.5,131,30.782,117
2024-03-23T00:00:00.000Z,42,68,53,48,58,6.487,117
2024-03-24T00:00:00.000Z,50,66,59,56,61,3.656,121
2024-03-25T00:00:00.000Z,50,66,57,54,59,3.844,127
2024-03-26T00:00:00.000Z,37,66,50,43,55,6.91,118
2024-03-27T00:00:00.000Z,41,77,51,47,54,7.383,114
2024-03-28T00:00:00.000Z,45,63,51,49,55,3.9,124
2024-03-29T00:00:00.000Z,46,68,57,52,63,6.102,55
2024-03-30T00:00:00.000Z,25,54,39,37,42,6.016,118
2024-03-31T00:00:00.000Z,31,53,41,34,46,6.277,124
2024-04-01T00:00:00.000Z,49,113,75,54,89,20,120
2024-04-02T00:00:00.000Z,47,81,68,55,74,10.218,135
2024-04-03T00:00:00.000Z,42,88,56,47,80,15.671,126
2024-04-04T00:00:00.000Z,46,89,57,51,75,12.057,130
2024-04-05T00:00:00.000Z,54,81,69,66,72,5.024,120
2024-04-06T00:00:00.000Z,50,75,57,54,66,7.284,110
2024-04-07T00:00:00.000Z,50,67,55,53,60,4.492,109
2024-04-08T00:00:00.000Z,25,64,37,28,51,12.322,113
2024-04-09T00:00:00.000Z,28,58,39,34,44.5,8.347,120
2024-04-10T00:00:00.000Z,38,180,85,53,104,34.779,106
2024-04-11T00:00:00.000Z,62,142,108,69,122.5,26.162,121
2024-04-12T00:00:00.000Z,53,89,72,58,78,10.488,115
2024-04-13T00:00:00.000Z,57,77,68,65,72,4.736,119
2024-04-14T00:00:00.000Z,57,71,64.5,61,66,3.117,128
2024-04-15T00:00:00.000Z,48,69,57,52,61,5.112,111
2024-04-16T00:00:00.000Z,48,63,53,51,57,3.694,121
2024-04-17T00:00:00.000Z,40,63,52,48,59,6.725,127
2024-04-18T00:00:00.000Z,36,95,59,42,77,18.243,105
2024-04-19T00:00:00.000Z,52,110,72,58,97,18.408,110
2024-04-20T00:00:00.000Z,69,112,92,75,101,13.68,107
2024-04-21T00:00:00.000Z,66,107,80,75,89,8.484,109
2024-04-22T00:00:00.000Z,52,89,68,60,80,10.49,118
2024-04-23T00:00:00.000Z,44,91,51,48,76,14.691,116
2024-04-24T00:00:00.000Z,34,63,43,35.5,55,9.829,113
2024-04-25T00:00:00.000Z,28,51,36,33,39,5.655,108
2024-04-26T00:00:00.000Z,31,57,39.5,35,51,8.243,128
2024-04-27T00:00:00.000Z,29,74,51,35.5,65,14.538,120
2024-04-28T00:00:00.000Z,25,58,31,27,45,10.788,131
2024-04-29T00:00:00.000Z,25,55,42,27,47,10.351,107
2024-04-30T00:00:00.000Z,39,130,72,51,102,27.951,105
2024-05-01T00:00:00.000Z,63,121,82.5,76,102,15.995,110
2024-05-02T00:00:00.000Z,63,112,75,69,86,11.415,123
2024-05-03T00:00:00.000Z,44,101,65,54,75,14.178,115
2024-05-04T00:00:00.000Z,64,95,80,75,86,7.528,81
2024-05-05T00:00:00.000Z,80,89,83,82,85,2.208,107
2024-05-06T00:00:00.000Z,62,91,71,69,81,7.381,108
2024-05-07T00:00:00.000Z,37,80,41,38,43,10.012,15
