timestamp,outdoor_temp,outdoor_feels_like,outdoor_pressure,outdoor_humidity,outdoor_weather,outdoor_pm25,outdoor_pm10,indoor_temp,indoor_light
2024-04-19 07:52:09,32.43,39.43,1008.0,84.0,Clouds,95.0,55.0,27.5,56.0
2024-04-22 01:06:44,31.12,38.12,1006.0,74.0,Clouds,119.0,62.0,29.25,37.0
2024-04-22 04:18:43,30.2,36.58,1005.0,74.0,Clouds,106.0,59.0,29.25,18.0
2024-04-22 04:23:43,30.2,36.58,1005.0,74.0,Clouds,109.0,60.0,28.75,19.0
2024-04-22 04:28:43,30.2,36.58,1005.0,74.0,Clouds,106.0,60.0,28.75,18.0
2024-04-22 04:33:44,29.97,35.96,1005.0,74.0,Clouds,106.0,60.0,28.5,18.0
2024-04-22 04:38:44,29.97,35.96,1005.0,74.0,Clouds,106.0,60.0,28.5,18.0
2024-04-22 04:43:44,29.97,35.96,1005.0,74.0,Clouds,106.0,59.0,28.5,18.0
2024-04-22 04:48:44,29.97,35.96,1005.0,74.0,Clouds,106.0,59.0,28.25,18.0
2024-04-22 04:53:44,29.97,35.96,1005.0,74.0,Clouds,106.0,59.0,28.5,18.0
2024-04-22 04:58:44,29.97,35.96,1005.0,74.0,Clouds,106.0,59.0,28.25,18.0
2024-04-22 05:03:44,29.97,35.96,1005.0,74.0,Clouds,109.0,60.0,28.25,18.0
2024-04-22 05:08:44,30.11,36.33,1005.0,74.0,Clouds,106.0,59.0,28.25,18.0
2024-04-22 05:13:45,30.11,36.33,1005.0,74.0,Clouds,106.0,59.0,28.0,19.0
2024-04-22 05:18:44,30.11,36.33,1005.0,74.0,Clouds,106.0,59.0,28.25,18.0
2024-04-22 05:23:44,30.11,36.33,1005.0,74.0,Clouds,106.0,59.0,28.25,19.0
2024-04-22 05:28:44,30.11,36.33,1005.0,74.0,Clouds,106.0,59.0,28.25,18.0
2024-04-22 05:33:44,30.11,36.33,1005.0,74.0,Clouds,106.0,59.0,28.25,18.0
2024-04-22 05:38:45,30.11,36.33,1005.0,74.0,Clouds,104.0,58.0,28.0,18.0
2024-04-22 05:43:44,30.15,36.44,1005.0,74.0,Clouds,104.0,58.0,28.0,18.0
2024-04-22 05:48:44,30.15,37.15,1006.0,79.0,Clouds,101.0,59.0,28.0,18.0
2024-04-22 05:53:46,30.15,37.15,1006.0,79.0,Clouds,101.0,59.0,28.25,18.0
2024-04-22 05:58:45,30.15,37.15,1006.0,79.0,Clouds,101.0,58.0,28.0,19.0
2024-04-22 06:03:45,30.15,37.15,1006.0,79.0,Clouds,101.0,58.0,28.0,20.0
2024-04-22 06:08:45,30.15,37.15,1006.0,79.0,Clouds,101.0,58.0,28.0,22.0
2024-04-22 06:13:45,30.15,37.15,1006.0,79.0,Clouds,101.0,57.0,28.0,23.0
2024-04-22 06:18:45,30.15,37.15,1006.0,79.0,Clouds,101.0,56.0,28.0,25.0
2024-04-22 06:23:45,30.15,37.15,1006.0,79.0,Clouds,101.0,56.0,28.0,27.0
2024-04-22 06:28:45,30.15,37.15,1006.0,79.0,Clouds,101.0,57.0,28.0,29.0
2024-04-22 06:33:45,30.24,37.24,1006.0,79.0,Clouds,101.0,57.0,28.0,31.0
2024-04-22 06:38:45,30.24,37.24,1006.0,79.0,Clouds,101.0,57.0,27.75,34.0
2024-04-22 06:43:45,30.24,37.24,1006.0,79.0,Clouds,101.0,57.0,28.0,35.0
2024-04-22 06:48:45,30.24,37.24,1006.0,79.0,Clouds,106.0,57.0,27.75,37.0
2024-04-22 06:53:46,30.24,37.24,1007.0,84.0,Clouds,106.0,57.0,27.75,40.0
2024-04-22 06:58:46,30.24,37.24,1007.0,84.0,Clouds,106.0,57.0,27.75,41.0
2024-04-22 07:03:46,30.24,37.24,1007.0,84.0,Clouds,106.0,57.0,27.75,42.0
2024-04-22 07:08:46,29.97,36.97,1007.0,84.0,Clouds,106.0,57.0,27.75,43.0
2024-04-22 07:13:46,29.97,36.97,1007.0,84.0,Clouds,106.0,57.0,27.75,45.0
2024-04-22 07:18:46,29.97,36.97,1007.0,84.0,Clouds,106.0,57.0,27.5,46.0
2024-04-22 07:23:46,30.97,37.97,1007.0,79.0,Clouds,106.0,57.0,27.75,46.0
2024-04-22 07:28:46,30.97,37.97,1007.0,79.0,Clouds,106.0,57.0,27.75,47.0
2024-04-22 07:33:46,30.97,37.97,1007.0,79.0,Clouds,106.0,57.0,27.75,50.0
2024-04-22 07:38:47,32.75,39.75,1008.0,88.0,Clouds,106.0,57.0,27.5,50.0
2024-04-22 07:43:49,32.75,39.75,1008.0,88.0,Clouds,106.0,57.0,27.75,52.0
2024-04-22 07:48:46,33.02,40.02,1008.0,86.0,Clouds,106.0,57.0,27.5,52.0
2024-04-22 07:53:46,33.02,40.02,1008.0,86.0,Clouds,106.0,57.0,27.5,50.0
2024-04-22 07:58:46,31.12,38.12,1008.0,79.0,Clouds,106.0,57.0,27.5,50.0
2024-04-22 08:03:46,31.09,38.09,1008.0,79.0,Clouds,106.0,57.0,27.5,50.0
2024-04-22 08:08:47,33.01,40.01,1009.0,86.0,Clouds,106.0,57.0,27.75,50.0
2024-04-22 08:13:47,33.01,40.01,1009.0,86.0,Clouds,106.0,57.0,27.75,53.0
2024-04-22 08:18:47,33.5,40.5,1009.0,83.0,Clouds,106.0,57.0,27.75,52.0
2024-04-22 08:23:47,33.5,40.5,1009.0,83.0,Clouds,106.0,57.0,27.75,53.0
2024-04-22 08:28:47,33.5,40.5,1009.0,83.0,Clouds,106.0,57.0,27.5,55.0
2024-04-22 08:33:47,33.51,40.51,1009.0,81.0,Clouds,106.0,57.0,27.5,55.0
2024-04-22 08:38:47,33.51,40.51,1009.0,81.0,Clouds,106.0,57.0,27.75,57.0
2024-04-22 08:43:47,33.84,40.84,1009.0,80.0,Clouds,106.0,57.0,27.5,58.0
2024-04-22 08:48:49,34.55,41.55,1009.0,77.0,Clouds,116.0,61.0,27.5,56.0
2024-04-22 08:53:47,34.55,41.55,1009.0,77.0,Clouds,116.0,61.0,27.5,57.0
2024-04-22 08:58:47,34.55,41.55,1009.0,77.0,Clouds,111.0,61.0,27.5,58.0
2024-04-22 09:03:48,34.28,41.28,1009.0,78.0,Clouds,111.0,61.0,27.75,53.0
2024-04-22 09:08:47,34.28,41.28,1009.0,75.0,Clouds,121.0,63.0,27.5,58.0
2024-04-22 09:13:47,34.28,41.28,1009.0,78.0,Clouds,121.0,63.0,27.5,60.0
2024-04-22 09:18:47,34.28,41.28,1009.0,75.0,Clouds,119.0,63.0,27.75,61.0
2024-04-22 09:23:47,35.32,42.32,1009.0,68.0,Clouds,119.0,63.0,28.5,68.0
2024-04-22 09:28:47,35.32,42.32,1009.0,68.0,Clouds,116.0,62.0,29.25,70.0
2024-04-22 09:33:47,35.32,42.32,1009.0,68.0,Clouds,116.0,61.0,29.75,55.0
2024-04-23 03:45:00,30.97,37.97,1005.0,75.0,Clouds,97.0,56.0,28.25,18.0
2024-04-23 03:50:00,30.92,37.92,1005.0,75.0,Clouds,97.0,54.0,28.5,18.0
2024-04-23 03:55:00,30.97,37.97,1005.0,75.0,Clouds,97.0,55.0,28.75,19.0
2024-04-23 04:00:00,30.88,37.88,1005.0,75.0,Clouds,97.0,55.0,28.75,19.0
2024-04-23 04:05:00,30.88,37.88,1005.0,75.0,Clouds,97.0,55.0,28.5,19.0
2024-04-23 04:10:00,30.88,37.88,1005.0,75.0,Clouds,95.0,55.0,28.75,19.0
2024-04-23 04:15:01,30.88,37.88,1005.0,75.0,Clouds,97.0,56.0,28.75,18.0
2024-04-23 04:20:00,30.88,37.88,1005.0,75.0,Clouds,97.0,56.0,28.75,18.0
2024-04-23 04:25:01,30.88,37.88,1005.0,75.0,Clouds,97.0,56.0,28.5,18.0
2024-04-23 04:30:01,31.0,38.0,1005.0,75.0,Clouds,97.0,56.0,28.5,19.0
2024-04-23 04:35:01,31.0,38.0,1005.0,75.0,Clouds,97.0,56.0,28.5,18.0
2024-04-23 04:40:01,31.0,38.0,1005.0,75.0,Clouds,97.0,56.0,28.5,18.0
2024-04-23 04:45:02,31.0,38.0,1005.0,75.0,Clouds,97.0,56.0,28.5,19.0
2024-04-23 04:50:01,31.0,38.0,1005.0,75.0,Clouds,99.0,56.0,28.25,18.0
2024-04-23 04:55:01,31.0,38.0,1005.0,75.0,Clouds,99.0,56.0,28.5,18.0
2024-04-23 05:00:04,30.86,37.86,1005.0,75.0,Clouds,99.0,56.0,28.25,18.0
2024-04-23 05:05:02,30.86,37.86,1005.0,75.0,Clouds,99.0,56.0,28.25,18.0
2024-04-23 05:10:02,30.86,37.86,1005.0,75.0,Clouds,97.0,55.0,28.25,19.0
2024-04-23 05:15:02,30.86,37.86,1005.0,75.0,Clouds,97.0,55.0,28.25,18.0
2024-04-23 05:20:02,30.12,37.12,1005.0,78.0,Clouds,99.0,57.0,28.25,19.0
2024-04-23 05:25:01,30.12,37.12,1005.0,78.0,Clouds,99.0,57.0,28.25,18.0
2024-04-23 05:30:03,30.12,37.12,1005.0,78.0,Clouds,101.0,56.0,28.25,18.0
2024-04-23 05:35:02,30.12,37.12,1005.0,78.0,Clouds,101.0,56.0,28.25,18.0
2024-04-23 05:40:04,30.12,37.12,1005.0,78.0,Clouds,99.0,57.0,28.25,18.0
2024-04-23 05:45:02,30.12,37.12,1006.0,79.0,Clouds,101.0,57.0,28.25,18.0
2024-04-23 05:50:02,30.12,37.12,1006.0,79.0,Clouds,101.0,57.0,28.25,18.0
2024-04-23 05:55:01,30.12,37.12,1006.0,79.0,Clouds,101.0,57.0,28.25,19.0
